[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,initial-population,[step],avg-gini,starvation
73,30,90,color-agents-by-decile,400,0,0.450501916135996,4096
74,30,100,color-agents-by-decile,400,0,0.438988172443726,3696
75,30,110,color-agents-by-decile,400,0,0.438988172443726,3696
76,30,120,color-agents-by-decile,400,0,0.450501916135996,4096
77,30,130,color-agents-by-decile,400,0,0.438988172443726,3696
78,30,140,color-agents-by-decile,400,0,0.450501916135996,4096
79,30,150,color-agents-by-decile,400,0,0.438988172443726,3696
80,30,160,color-agents-by-decile,400,0,0.438988172443726,3696
81,30,170,color-agents-by-decile,400,0,0.438988172443726,3696
82,30,180,color-agents-by-decile,400,0,0.438988172443726,3696
83,30,190,color-agents-by-decile,400,0,0.450501916135996,4096
84,30,200,color-agents-by-decile,400,0,0.438988172443726,3696
85,40,0,color-agents-by-decile,400,1000,0.460567629291484,4262
86,40,10,color-agents-by-decile,400,1000,0.441556129115105,3766
87,40,20,color-agents-by-decile,400,1000,0.416248461302911,3523
88,40,30,color-agents-by-decile,400,1000,0.405193799135307,3032
89,40,40,color-agents-by-decile,400,0,0.405193799135307,3032
90,40,50,color-agents-by-decile,400,0,0.405193799135307,3032
91,40,60,color-agents-by-decile,400,0,0.405193799135307,3032
92,40,70,color-agents-by-decile,400,0,0.405193799135307,3032
93,40,80,color-agents-by-decile,400,0,0.405193799135307,3032
94,40,90,color-agents-by-decile,400,0,0.405193799135307,3032
95,40,100,color-agents-by-decile,400,0,0.405193799135307,3032
96,40,110,color-agents-by-decile,400,0,0.405193799135307,3032
97,40,120,color-agents-by-decile,400,0,0.405193799135307,3032
98,40,130,color-agents-by-decile,400,0,0.405193799135307,3032
99,40,140,color-agents-by-decile,400,0,0.405193799135307,3032
100,40,150,color-agents-by-decile,400,0,0.405193799135307,3032
101,40,160,color-agents-by-decile,400,0,0.405193799135307,3032
102,40,170,color-agents-by-decile,400,0,0.405193799135307,3032
103,40,180,color-agents-by-decile,400,0,0.405193799135307,3032
104,40,190,color-agents-by-decile,400,0,0.405193799135307,3032
105,40,200,color-agents-by-decile,400,0,0.405193799135307,3032
106,50,0,color-agents-by-decile,400,1000,0.437366282586043,3823
107,50,10,color-agents-by-decile,400,1000,0.422373362441169,3547
108,50,20,color-agents-by-decile,400,1000,0.397998055976055,3055
109,50,30,color-agents-by-decile,400,1000,0.381624344729971,2923
110,50,40,color-agents-by-decile,400,1000,0.362849096735434,2758
111,50,50,color-agents-by-decile,400,0,0.381624344729971,2923
112,50,60,color-agents-by-decile,400,0,0.381624344729971,2923
113,50,70,color-agents-by-decile,400,0,0.381624344729971,2923
114,50,80,color-agents-by-decile,400,0,0.381624344729971,2923
115,50,90,color-agents-by-decile,400,0,0.381624344729971,2923
116,50,100,color-agents-by-decile,400,0,0.381624344729971,2923
117,50,110,color-agents-by-decile,400,0,0.381624344729971,2923
118,50,120,color-agents-by-decile,400,0,0.381624344729971,2923
119,50,130,color-agents-by-decile,400,0,0.381624344729971,2923
120,50,140,color-agents-by-decile,400,0,0.381624344729971,2923
121,50,150,color-agents-by-decile,400,0,0.381624344729971,2923
122,50,160,color-agents-by-decile,400,0,0.381624344729971,2923
123,50,170,color-agents-by-decile,400,0,0.381624344729971,2923
124,50,180,color-agents-by-decile,400,0,0.381624344729971,2923
125,50,190,color-agents-by-decile,400,0,0.381624344729971,2923
126,50,200,color-agents-by-decile,400,0,0.381624344729971,2923
127,60,0,color-agents-by-decile,400,1000,0.409979569019756,3559
128,60,10,color-agents-by-decile,400,1000,0.403161231532755,3279
129,60,20,color-agents-by-decile,400,1000,0.388723714653166,2918
130,60,30,color-agents-by-decile,400,1000,0.370701021086762,2780
131,60,40,color-agents-by-decile,400,1000,0.363350913473861,2671
132,60,50,color-agents-by-decile,400,1000,0.339523523035497,2487
133,60,60,color-agents-by-decile,400,0,0.370701021086762,2780
134,60,70,color-agents-by-decile,400,0,0.370701021086762,2780
135,60,80,color-agents-by-decile,400,0,0.370701021086762,2780
136,60,90,color-agents-by-decile,400,0,0.370701021086762,2780
137,60,100,color-agents-by-decile,400,0,0.370701021086762,2780
138,60,110,color-agents-by-decile,400,0,0.370701021086762,2780
139,60,120,color-agents-by-decile,400,0,0.370701021086762,2780
140,60,130,color-agents-by-decile,400,0,0.370701021086762,2780
141,60,140,color-agents-by-decile,400,0,0.370701021086762,2780
142,60,150,color-agents-by-decile,400,0,0.370701021086762,2780
143,60,160,color-agents-by-decile,400,0,0.370701021086762,2780
144,60,170,color-agents-by-decile,400,0,0.370701021086762,2780
145,60,180,color-agents-by-decile,400,0,0.370701021086762,2780
146,60,190,color-agents-by-decile,400,0,0.370701021086762,2780
147,60,200,color-agents-by-decile,400,0,0.370701021086762,2780
148,70,0,color-agents-by-decile,400,1000,0.414552572539021,3378
149,70,10,color-agents-by-decile,400,1000,0.397994340972961,3106
150,70,20,color-agents-by-decile,400,1000,0.384632471278417,2807
151,70,30,color-agents-by-decile,400,1000,0.349737174137241,2637
152,70,40,color-agents-by-decile,400,1000,0.349767207407883,2546
153,70,50,color-agents-by-decile,400,1000,0.330468211520979,2336
154,70,60,color-agents-by-decile,400,1000,0.334394225406155,2255
155,70,70,color-agents-by-decile,400,0,0.330468211520979,2336
156,70,80,color-agents-by-decile,400,0,0.330468211520979,2336
157,70,90,color-agents-by-decile,400,0,0.330468211520979,2336
158,70,100,color-agents-by-decile,400,0,0.330468211520979,2336
159,70,110,color-agents-by-decile,400,0,0.330468211520979,2336
160,70,120,color-agents-by-decile,400,0,0.330468211520979,2336
161,70,130,color-agents-by-decile,400,0,0.330468211520979,2336
162,70,140,color-agents-by-decile,400,0,0.330468211520979,2336
163,70,150,color-agents-by-decile,400,0,0.330468211520979,2336
164,70,160,color-agents-by-decile,400,0,0.330468211520979,2336
165,70,170,color-agents-by-decile,400,0,0.330468211520979,2336
166,70,180,color-agents-by-decile,400,0,0.330468211520979,2336
167,70,190,color-agents-by-decile,400,0,0.330468211520979,2336
168,70,200,color-agents-by-decile,400,0,0.330468211520979,2336
169,80,0,color-agents-by-decile,400,1000,0.376973841851668,3151
170,80,10,color-agents-by-decile,400,1000,0.393267013217563,2893
171,80,20,color-agents-by-decile,400,1000,0.374813356980706,2622
172,80,30,color-agents-by-decile,400,1000,0.351282574668558,2467
173,80,40,color-agents-by-decile,400,1000,0.346513921809833,2334
174,80,50,color-agents-by-decile,400,1000,0.328706982822061,2277
175,80,60,color-agents-by-decile,400,1000,0.330791863572404,2140
176,80,70,color-agents-by-decile,400,1000,0.304871205986754,1967
177,80,80,color-agents-by-decile,400,0,0.330791863572404,2140
178,80,90,color-agents-by-decile,400,0,0.330791863572404,2140
179,80,100,color-agents-by-decile,400,0,0.330791863572404,2140
180,80,110,color-agents-by-decile,400,0,0.330791863572404,2140
181,80,120,color-agents-by-decile,400,0,0.330791863572404,2140
182,80,130,color-agents-by-decile,400,0,0.330791863572404,2140
183,80,140,color-agents-by-decile,400,0,0.330791863572404,2140
184,80,150,color-agents-by-decile,400,0,0.330791863572404,2140
185,80,160,color-agents-by-decile,400,0,0.330791863572404,2140
186,80,170,color-agents-by-decile,400,0,0.330791863572404,2140
187,80,180,color-agents-by-decile,400,0,0.330791863572404,2140
188,80,190,color-agents-by-decile,400,0,0.330791863572404,2140
189,80,200,color-agents-by-decile,400,0,0.330791863572404,2140
190,90,0,color-agents-by-decile,400,1000,0.394532190468167,2861
191,90,10,color-agents-by-decile,400,1000,0.384982491858452,2651
192,90,20,color-agents-by-decile,400,1000,0.368635432395698,2498
193,90,30,color-agents-by-decile,400,1000,0.353979747121293,2300
194,90,40,color-agents-by-decile,400,1000,0.323743990621327,2248
195,90,50,color-agents-by-decile,400,1000,0.32491887518237,2037
196,90,60,color-agents-by-decile,400,1000,0.306748153135797,1945
197,90,70,color-agents-by-decile,400,1000,0.296426236522222,1808
198,90,80,color-agents-by-decile,400,1000,0.302850724997616,1693
199,90,90,color-agents-by-decile,400,0,0.296426236522222,1808
200,90,100,color-agents-by-decile,400,0,0.296426236522222,1808
201,90,110,color-agents-by-decile,400,0,0.296426236522222,1808
202,90,120,color-agents-by-decile,400,0,0.296426236522222,1808
203,90,130,color-agents-by-decile,400,0,0.296426236522222,1808
204,90,140,color-agents-by-decile,400,0,0.296426236522222,1808
205,90,150,color-agents-by-decile,400,0,0.296426236522222,1808
206,90,160,color-agents-by-decile,400,0,0.296426236522222,1808
207,90,170,color-agents-by-decile,400,0,0.296426236522222,1808
208,90,180,color-agents-by-decile,400,0,0.296426236522222,1808
209,90,190,color-agents-by-decile,400,0,0.296426236522222,1808
210,90,200,color-agents-by-decile,400,0,0.296426236522222,1808
211,100,0,color-agents-by-decile,400,1000,0.375378687058652,2792
212,100,10,color-agents-by-decile,400,1000,0.372068873895878,2535
213,100,20,color-agents-by-decile,400,1000,0.350914653811352,2288
214,100,30,color-agents-by-decile,400,1000,0.342620300487992,2192
215,100,40,color-agents-by-decile,400,1000,0.343694965110362,2096
216,100,50,color-agents-by-decile,400,1000,0.323864888488591,1879
217,100,60,color-agents-by-decile,400,1000,0.307647518656293,1826
218,100,70,color-agents-by-decile,400,1000,0.293918308442236,1655
219,100,80,color-agents-by-decile,400,1000,0.296201998691331,1611
220,100,90,color-agents-by-decile,400,1000,0.285058920068485,1370
221,100,100,color-agents-by-decile,400,0,0.296201998691331,1611
222,100,110,color-agents-by-decile,400,0,0.296201998691331,1611
223,100,120,color-agents-by-decile,400,0,0.296201998691331,1611
224,100,130,color-agents-by-decile,400,0,0.296201998691331,1611
225,100,140,color-agents-by-decile,400,0,0.296201998691331,1611
226,100,150,color-agents-by-decile,400,0,0.296201998691331,1611
227,100,160,color-agents-by-decile,400,0,0.296201998691331,1611
228,100,170,color-agents-by-decile,400,0,0.296201998691331,1611
229,100,180,color-agents-by-decile,400,0,0.296201998691331,1611
230,100,190,color-agents-by-decile,400,0,0.296201998691331,1611
231,100,200,color-agents-by-decile,400,0,0.296201998691331,1611
232,110,0,color-agents-by-decile,400,1000,0.375285600297794,2478
233,110,10,color-agents-by-decile,400,1000,0.365912724473791,2271
234,110,20,color-agents-by-decile,400,1000,0.352116112359174,2186
235,110,30,color-agents-by-decile,400,1000,0.347298688407233,2070
236,110,40,color-agents-by-decile,400,1000,0.322336969599744,1883
237,110,50,color-agents-by-decile,400,1000,0.297859763726041,1786
238,110,60,color-agents-by-decile,400,1000,0.310062914670939,1689
239,110,70,color-agents-by-decile,400,1000,0.287118896224186,1536
240,110,80,color-agents-by-decile,400,1000,0.295264257417335,1412
241,110,90,color-agents-by-decile,400,1000,0.287626798121671,1248
242,110,100,color-agents-by-decile,400,1000,0.271920373486145,1082
243,110,110,color-agents-by-decile,400,0,0.287626798121671,1248
244,110,120,color-agents-by-decile,400,0,0.287626798121671,1248
245,110,130,color-agents-by-decile,400,0,0.287626798121671,1248
246,110,140,color-agents-by-decile,400,0,0.287626798121671,1248
247,110,150,color-agents-by-decile,400,0,0.287626798121671,1248
248,110,160,color-agents-by-decile,400,0,0.287626798121671,1248
249,110,170,color-agents-by-decile,400,0,0.287626798121671,1248
250,110,180,color-agents-by-decile,400,0,0.287626798121671,1248
251,110,190,color-agents-by-decile,400,0,0.287626798121671,1248
252,110,200,color-agents-by-decile,400,0,0.287626798121671,1248
253,120,0,color-agents-by-decile,400,1000,0.360113890407923,2404
254,120,10,color-agents-by-decile,400,1000,0.359659124570151,2202
255,120,20,color-agents-by-decile,400,1000,0.349409781626073,2007
256,120,30,color-agents-by-decile,400,1000,0.337349979749872,1947
257,120,40,color-agents-by-decile,400,1000,0.324073087480322,1744
258,120,50,color-agents-by-decile,400,1000,0.322624644925807,1658
259,120,60,color-agents-by-decile,400,1000,0.299170367817965,1548
260,120,70,color-agents-by-decile,400,1000,0.288565157321071,1443
261,120,80,color-agents-by-decile,400,1000,0.267213506720842,1317
262,120,90,color-agents-by-decile,400,1000,0.271670629947248,1135
263,120,100,color-agents-by-decile,400,1000,0.26612819797493,1021
264,120,110,color-agents-by-decile,400,1000,0.255981763609146,960
265,120,120,color-agents-by-decile,400,0,0.26612819797493,1021
266,120,130,color-agents-by-decile,400,0,0.26612819797493,1021
267,120,140,color-agents-by-decile,400,0,0.26612819797493,1021
268,120,150,color-agents-by-decile,400,0,0.26612819797493,1021
269,120,160,color-agents-by-decile,400,0,0.26612819797493,1021
270,120,170,color-agents-by-decile,400,0,0.26612819797493,1021
271,120,180,color-agents-by-decile,400,0,0.26612819797493,1021
272,120,190,color-agents-by-decile,400,0,0.26612819797493,1021
273,120,200,color-agents-by-decile,400,0,0.26612819797493,1021
274,130,0,color-agents-by-decile,400,1000,0.365932562470062,2327
275,130,10,color-agents-by-decile,400,1000,0.344984175672118,2141
276,130,20,color-agents-by-decile,400,1000,0.342778678744451,1941
277,130,30,color-agents-by-decile,400,1000,0.334852514370873,1775
278,130,40,color-agents-by-decile,400,1000,0.322044782540331,1703
279,130,50,color-agents-by-decile,400,1000,0.301960145156697,1562
280,130,60,color-agents-by-decile,400,1000,0.303740541781415,1494
281,130,70,color-agents-by-decile,400,1000,0.283527379086552,1313
282,130,80,color-agents-by-decile,400,1000,0.276121321288471,1200
283,130,90,color-agents-by-decile,400,1000,0.267556830869638,1098
284,130,100,color-agents-by-decile,400,1000,0.262890468833464,992
285,130,110,color-agents-by-decile,400,1000,0.243180821197497,858
286,130,120,color-agents-by-decile,400,1000,0.248534875717229,808
287,130,130,color-agents-by-decile,400,0,0.243180821197497,858
288,130,140,color-agents-by-decile,400,0,0.243180821197497,858
289,130,150,color-agents-by-decile,400,0,0.243180821197497,858
290,130,160,color-agents-by-decile,400,0,0.243180821197497,858
291,130,170,color-agents-by-decile,400,0,0.243180821197497,858
292,130,180,color-agents-by-decile,400,0,0.243180821197497,858
293,130,190,color-agents-by-decile,400,0,0.243180821197497,858
294,130,200,color-agents-by-decile,400,0,0.243180821197497,858
295,140,0,color-agents-by-decile,400,1000,0.361928353888776,2184
296,140,10,color-agents-by-decile,400,1000,0.355209122146375,1901
297,140,20,color-agents-by-decile,400,1000,0.335880648362294,1818
298,140,30,color-agents-by-decile,400,1000,0.32163808507186,1695
299,140,40,color-agents-by-decile,400,1000,0.314921310286311,1548
300,140,50,color-agents-by-decile,400,1000,0.299681517587691,1400
301,140,60,color-agents-by-decile,400,1000,0.299338905394361,1315
302,140,70,color-agents-by-decile,400,1000,0.283751147645258,1177
303,140,80,color-agents-by-decile,400,1000,0.276315289015828,1058
304,140,90,color-agents-by-decile,400,1000,0.261770179201225,1003
305,140,100,color-agents-by-decile,400,1000,0.256582784661078,953
306,140,110,color-agents-by-decile,400,1000,0.250895305083702,841
307,140,120,color-agents-by-decile,400,1000,0.237494793822382,757
308,140,130,color-agents-by-decile,400,1000,0.225176959176648,695
309,140,140,color-agents-by-decile,400,0,0.237494793822382,757
310,140,150,color-agents-by-decile,400,0,0.237494793822382,757
311,140,160,color-agents-by-decile,400,0,0.237494793822382,757
312,140,170,color-agents-by-decile,400,0,0.237494793822382,757
313,140,180,color-agents-by-decile,400,0,0.237494793822382,757
314,140,190,color-agents-by-decile,400,0,0.237494793822382,757
315,140,200,color-agents-by-decile,400,0,0.237494793822382,757
316,150,0,color-agents-by-decile,400,1000,0.354362814167708,2006
317,150,10,color-agents-by-decile,400,1000,0.340603247566425,1795
318,150,20,color-agents-by-decile,400,1000,0.339025282090578,1624
319,150,30,color-agents-by-decile,400,1000,0.327638521089053,1524
320,150,40,color-agents-by-decile,400,1000,0.308562077941831,1484
321,150,50,color-agents-by-decile,400,1000,0.292928287234096,1392
322,150,60,color-agents-by-decile,400,1000,0.292248674648167,1230
323,150,70,color-agents-by-decile,400,1000,0.282221557382007,1118
324,150,80,color-agents-by-decile,400,1000,0.258101186534899,938
325,150,90,color-agents-by-decile,400,1000,0.257461412029927,977
326,150,100,color-agents-by-decile,400,1000,0.246035556539664,902
327,150,110,color-agents-by-decile,400,1000,0.237117360437544,771
328,150,120,color-agents-by-decile,400,1000,0.22671959522843,716
329,150,130,color-agents-by-decile,400,1000,0.225874198336396,663
330,150,140,color-agents-by-decile,400,1000,0.216109464887309,608
331,150,150,color-agents-by-decile,400,0,0.225874198336396,663
332,150,160,color-agents-by-decile,400,0,0.225874198336396,663
333,150,170,color-agents-by-decile,400,0,0.225874198336396,663
334,150,180,color-agents-by-decile,400,0,0.225874198336396,663
335,150,190,color-agents-by-decile,400,0,0.225874198336396,663
336,150,200,color-agents-by-decile,400,0,0.225874198336396,663
337,160,0,color-agents-by-decile,400,1000,0.364188221995113,1969
338,160,10,color-agents-by-decile,400,1000,0.344890599894063,1781
339,160,20,color-agents-by-decile,400,1000,0.328295576741088,1672
340,160,30,color-agents-by-decile,400,1000,0.328212924501855,1501
341,160,40,color-agents-by-decile,400,1000,0.304370137276745,1344
342,160,50,color-agents-by-decile,400,1000,0.299001356417493,1307
343,160,60,color-agents-by-decile,400,1000,0.288419736493817,1151
344,160,70,color-agents-by-decile,400,1000,0.27499631252681,1088
345,160,80,color-agents-by-decile,400,1000,0.270449210080525,983
346,160,90,color-agents-by-decile,400,1000,0.256458323043517,910
347,160,100,color-agents-by-decile,400,1000,0.244864554350532,744
348,160,110,color-agents-by-decile,400,1000,0.226578253372383,705
349,160,120,color-agents-by-decile,400,1000,0.234038429142937,650
350,160,130,color-agents-by-decile,400,1000,0.221505393137906,594
351,160,140,color-agents-by-decile,400,1000,0.219238886409313,548
352,160,150,color-agents-by-decile,400,1000,0.214881214017628,526
353,160,160,color-agents-by-decile,400,0,0.219238886409313,548
354,160,170,color-agents-by-decile,400,0,0.219238886409313,548
355,160,180,color-agents-by-decile,400,0,0.219238886409313,548
356,160,190,color-agents-by-decile,400,0,0.219238886409313,548
357,160,200,color-agents-by-decile,400,0,0.219238886409313,548
358,170,0,color-agents-by-decile,400,1000,0.355102933415402,1820
359,170,10,color-agents-by-decile,400,1000,0.333838552275221,1662
360,170,20,color-agents-by-decile,400,1000,0.335468665347139,1579
361,170,30,color-agents-by-decile,400,1000,0.324682072978002,1442
362,170,40,color-agents-by-decile,400,1000,0.301737929737228,1312
363,170,50,color-agents-by-decile,400,1000,0.285809553835154,1198
364,170,60,color-agents-by-decile,400,1000,0.286643602275878,1070
365,170,70,color-agents-by-decile,400,1000,0.274386370306756,958
366,170,80,color-agents-by-decile,400,1000,0.262445370897908,884
367,170,90,color-agents-by-decile,400,1000,0.25312060721579,822
368,170,100,color-agents-by-decile,400,1000,0.247000637352575,717
369,170,110,color-agents-by-decile,400,1000,0.227177232082511,699
370,170,120,color-agents-by-decile,400,1000,0.220470053164565,624
371,170,130,color-agents-by-decile,400,1000,0.217594903850403,594
372,170,140,color-agents-by-decile,400,1000,0.205245547773627,542
373,170,150,color-agents-by-decile,400,1000,0.206858154237553,505
374,170,160,color-agents-by-decile,400,1000,0.205058199204049,454
375,170,170,color-agents-by-decile,400,0,0.206858154237553,505
376,170,180,color-agents-by-decile,400,0,0.206858154237553,505
377,170,190,color-agents-by-decile,400,0,0.206858154237553,505
378,170,200,color-agents-by-decile,400,0,0.206858154237553,505
379,180,0,color-agents-by-decile,400,1000,0.344172172433558,1746
380,180,10,color-agents-by-decile,400,1000,0.346773642417052,1549
381,180,20,color-agents-by-decile,400,1000,0.321643192375376,1407
382,180,30,color-agents-by-decile,400,1000,0.304774013872545,1379
383,180,40,color-agents-by-decile,400,1000,0.297937525879936,1239
384,180,50,color-agents-by-decile,400,1000,0.292108400618968,1149
385,180,60,color-agents-by-decile,400,1000,0.270148633323311,1052
386,180,70,color-agents-by-decile,400,1000,0.284263797961303,934
387,180,80,color-agents-by-decile,400,1000,0.249531870566969,871
388,180,90,color-agents-by-decile,400,1000,0.246922247010397,782
389,180,100,color-agents-by-decile,400,1000,0.247170402430303,682
390,180,110,color-agents-by-decile,400,1000,0.230500219504886,638
391,180,120,color-agents-by-decile,400,1000,0.224715346673737,580
392,180,130,color-agents-by-decile,400,1000,0.217345092940741,548
393,180,140,color-agents-by-decile,400,1000,0.20736803963007,486
394,180,150,color-agents-by-decile,400,1000,0.191225909495689,492
395,180,160,color-agents-by-decile,400,1000,0.189543162137637,436
396,180,170,color-agents-by-decile,400,1000,0.195609979711476,409
397,180,180,color-agents-by-decile,400,0,0.189543162137637,436
398,180,190,color-agents-by-decile,400,0,0.189543162137637,436
399,180,200,color-agents-by-decile,400,0,0.189543162137637,436
400,190,0,color-agents-by-decile,400,1000,0.357321270446604,1628
401,190,10,color-agents-by-decile,400,1000,0.336215635461144,1519
402,190,20,color-agents-by-decile,400,1000,0.313177066700058,1421
403,190,30,color-agents-by-decile,400,1000,0.305605066585544,1278
404,190,40,color-agents-by-decile,400,1000,0.30364523631072,1153
405,190,50,color-agents-by-decile,400,1000,0.285278680816164,1024
406,190,60,color-agents-by-decile,400,1000,0.278332187278651,1000
407,190,70,color-agents-by-decile,400,1000,0.271304587442816,917
408,190,80,color-agents-by-decile,400,1000,0.269388434051906,823
409,190,90,color-agents-by-decile,400,1000,0.247488794292559,707
410,190,100,color-agents-by-decile,400,1000,0.236124335028311,651
411,190,110,color-agents-by-decile,400,1000,0.232554125029749,612
412,190,120,color-agents-by-decile,400,1000,0.217149140500882,559
413,190,130,color-agents-by-decile,400,1000,0.206512564964668,486
414,190,140,color-agents-by-decile,400,1000,0.20502230850871,472
415,190,150,color-agents-by-decile,400,1000,0.203132561875475,497
416,190,160,color-agents-by-decile,400,1000,0.190306462762106,396
417,190,170,color-agents-by-decile,400,1000,0.182336757124353,365
418,190,180,color-agents-by-decile,400,1000,0.175774911000852,353
419,190,190,color-agents-by-decile,400,0,0.182336757124353,365
420,190,200,color-agents-by-decile,400,0,0.182336757124353,365
421,200,0,color-agents-by-decile,400,1000,0.338473831781918,1568
422,200,10,color-agents-by-decile,400,1000,0.332293652200663,1343
423,200,20,color-agents-by-decile,400,1000,0.318019037671539,1322
424,200,30,color-agents-by-decile,400,1000,0.315994762292796,1255
425,200,40,color-agents-by-decile,400,1000,0.309832598271789,1121
426,200,50,color-agents-by-decile,400,1000,0.29313545608224,1005
427,200,60,color-agents-by-decile,400,1000,0.298111884798194,1003
428,200,70,color-agents-by-decile,400,1000,0.267501711651473,820
429,200,80,color-agents-by-decile,400,1000,0.26355141891005,745
430,200,90,color-agents-by-decile,400,1000,0.249117755641653,662
431,200,100,color-agents-by-decile,400,1000,0.23701081244158,620
432,200,110,color-agents-by-decile,400,1000,0.232435173998975,598
433,200,120,color-agents-by-decile,400,1000,0.217736872461126,514
434,200,130,color-agents-by-decile,400,1000,0.216643151908139,460
435,200,140,color-agents-by-decile,400,1000,0.197465481410932,445
436,200,150,color-agents-by-decile,400,1000,0.192826028365188,380
437,200,160,color-agents-by-decile,400,1000,0.185225824854847,401
438,200,170,color-agents-by-decile,400,1000,0.189618504242551,351
439,200,180,color-agents-by-decile,400,1000,0.184166669342406,321
440,200,190,color-agents-by-decile,400,1000,0.174457874787802,320
441,200,200,color-agents-by-decile,400,0,0.184166669342406,321
